name,lat,lon,idps,households
Kubaisa Al-qadimah,33.59,42.61,510,6
`Aqabah,33.53,42.91,834,6
Ar Rahhaliya,32.76,43.38,5280,6
Jubbah,33.91,42.55,486,6
Luhib,33.39,43.97,2016,6
Maskhan,33.68,42.77,402,6
Al Nakheeb,32.03,42.25,2568,6
Sa`dah,34.36,41.1,714,6
Samalah,33.86,42.6,162,6
Sawar,33.98,42.56,210,6
Hay Al-Subhani,34.12,42.38,1488,6
Zuwayyah,33.53,42.93,324,6
Al `Ubaydi,34.41,41.18,924,6
Abu Tibban,33.51,43.01,450,6
Al-Amen,34.389693,41.006205,570,6
Al `Amiriyah,33.16,43.85,7974,6
Yarmouk,34.370033,41.988392,1230,6
Housiyba Al-sharqiyah,33.409585,43.445444,2382,12
Al Sofeya,33.41,43.31,900,12
Al-muabdiyat,33.646034,42.847127,1122,12
Al-shuhda?a,33.550541,42.901694,2646,12
Saweeb,33.589594,42.91215,1014,12
Tal aswad,33.546389,42.984524,1560,12
Al-shahabi-2,33.402463,43.913023,1350,12
Al-shahabi-1,33.402463,43.913023,858,12
subihat,33.402463,43.913023,720,12
Al Haara,33.038459,40.29329,2346,12
Al Muhamdee,33.550541,42.901694,4698,12
Wazeeriya,34.391873,40.989318,360,12
Al Baker,33.651228,42.827943,4548,12
Al `Ubaydi-3,34.433919,41.234951,984,12
Al Askaree,33.038952,40.277075,2130,12
Hay Al Meethagh,33.039801,40.282946,2700,12
Antesar,33.041954,40.27598,3462,18
Neeamiya,33.320545,43.791429,2760,18
Al-Ekhaa Compaund,33.162342,43.865124,27336,18
Warar,33.4298,43.2772,1200,18
Germany Company Location,33.042615,40.341484,456,18
Mualmeen,33.6423,42.8137,1800,18
The first jamaiya,33.6328,42.8405,3942,18
Al Askaree,34.370033,41.988392,1620,18
Al-Shuhada'a,33.375475,43.535445,4098,18
Hay Al-Etfa'a,33.632506,42.830697,3090,18
Hay Al-Jabal,33.63652,42.817702,3288,18
Hay Al-Hasaniya,34.080556,43.37,660,18
Hay Al-Askari,33.985556,43.020556,2268,24
Hay Al-Khudhir,33.9875,43.011111,1350,24
Hay Al-Zuhoor,33.686389,42.478611,1032,24
Hay al Jury,33.638446,42.823,6840,24
Al Wadi,33.036414,40.284369,1590,24
Hay Al-Matar,33.038566,40.285538,2484,24
Hay Al Saray,34.129372,42.380523,3576,24
Hay Al Askary,34.129339,42.373987,3096,24
Al hawija,34.131768,42.386263,510,24
Hay Al Rifa'y,34.140894,42.379,1740,24
Hay Al Shurta,34.135975,42.377297,1086,30
Hay Sala Din,34.145498,42.367382,330,30
Hay Al Yarmuk,34.13674,42.365716,2418,30
Bani Dahir,34.108404,42.379335,1518,30
Al ma'adid,34.226544,42.145227,1290,30
Rayhana,34.340626,42.029125,750,30
Al 'bor (Shishan),34.369352,41.977818,1410,36
Hay Al Tammem,34.369383,41.991556,1398,36
Hay Al Nasir,34.366033,41.990583,2454,36
Hay Al Qadissiyah,34.376623,41.980873,1734,36
Al Tadamon,34.367327,41.97249,1974,36
Hay Al Salam,34.3645,41.980244,1932,42
Hay Al Sho'ba,34.468632,41.918468,744,42
Al Qaal'a,34.463354,41.914002,702,42
Rawa Al Qadima,34.474779,41.915935,1206,42
Hay Al Qadissiyah,34.488339,41.907478,1596,42
Hay Al-Salam,34.392349,40.996698,624,42
Hay Al-Yarmook,34.39801,40.992723,528,42
Door Al-Sikak,34.388794,40.973572,372,42
Hay 12 Rabee' Alawal,34.392991,40.981134,1218,42
Albu Hardan,34.392591,41.108437,30,48
Al-Rabet,34.418986,41.041886,222,48
Albu Ubaid,34.403801,41.091485,162,48
Hay Al-Andalus,34.39097,40.9897,1038,48
Hay Al-Ma'amon,34.392414,41.004368,966,54
Hay Al-Farooq,34.396212,41.002968,324,54
Hay Al-Athar,34.377071,41.066633,300,54
Hay Al-Makarim,34.383073,41.028504,336,54
Albu Alwan,33.332845,43.737692,1650,54
Al-Shurtan,33.403159,43.938962,834,60
Albu Udah,33.58,43.93,1668,60
Al-Jazerah,33.43,43.55,1500,60
5 Kilo,33.421901,43.241913,1200,60
Al-Ummal,33.64,42.81,3540,60
Al-Karagul,33.415488,43.938712,1176,60
Qaryat Albu Hadid Al-Nasir,33.391424,43.832223,1014,66
Albu Khanfar,33.465647,43.908447,1158,66
Al-Zuwayiah,33.408921,43.837899,1344,66
Qaryat Al-Jaffa,33.304321,43.680362,474,66
Albu Aifan,33.310021,43.742995,924,66
Albu Hatem,33.312843,43.729021,948,72
Umm Qasr,30.03,47.92,162,72
Safwan,30.11,47.71,54,72
Al Harthah,30.58,47.76,60,78
Badran,30.9347,47.2591,54,84
Dair,30.79,47.57,66,84
Al Dirhamiyah 1,30.3633,47.7165,24,84
Hamdan,30.44,47.9,144,90
Karmat `Ali,30.56,47.76,180,90
Al-Kibasi,30.5912,47.8058,6,96
Al `Ashar,30.51,47.83,786,96
Hay Al Askarye,30.438056,47.941111,6,102
Al -Shemal Area,30.4043,47.713,168,102
Al Khaleej4,30.49,47.78,30,102
Bab midan,30.46,47.99,6,102
Al-bahadria,30.458333,47.908333,30,108
Darb Al-lebany,30.460278,47.988889,18,108
Nahir khuz,30.461944,47.969167,6,114
Abu magheera,30.462778,47.960833,6,114
Hai al-mohandesin,30.463056,47.808889,372,120
Yousifan,30.473611,47.899722,18,120
As salehiyah,30.485278,47.961944,6,120
Al-dhweihrat,30.380833,47.693333,6,120
Al-marbed al-kadeem,30.383056,47.688056,12,132
Al-jamhoriyah al-thaniyah,30.385833,47.714722,108,138
Al-rasheidiyah  al-thaniyah,30.391667,47.700833,42,138
Al-jamhoriyah al-'olah,30.395,47.708333,60,144
Abu flos,30.441111,48.011667,24,144
Bab taweel,30.443611,47.99,6,150
Bab al-dabagh,30.449167,47.994167,18,150
Al-jadida,30.452778,47.906667,12,156
Awaisian,30.487222,47.8575,36,156
Al-meshraq al-qadeem,30.490833,47.822222,72,156
Al-mutaiha,30.491667,47.829444,84,162
Hai sana_a,30.491667,47.830556,6,162
Hai al-khaleej/3,30.492778,47.792778,48,162
Hai al-kafa_at,30.493333,47.797778,18,168
As-safat - Al Qadima,30.494444,47.817778,6,168
Hay Al Risalah,30.495418,47.800798,210,168
Al-khaleeliya/2,30.495833,47.821667,24,174
Hai al-hussain/2,30.498056,47.779722,12,174
Al Harthah / Hay Al Risalah,30.5977,47.7522,42,180
Al-bradhia,30.498889,47.846667,66,180
Hai al-mu_alemin,30.499722,47.810556,12,180
As-saimar,30.501389,47.820278,48,180
Hai amman,30.503333,47.841111,12,180
Nadhran,30.503889,47.8042,42,192
Al-abbasya,30.505,47.835278,24,192
Manawi pasha,30.505,47.850556,60,204
Kut al-hejaj,30.505278,47.803056,12,210
Al-tahseeniya al-qadeema,30.506944,47.821111,36,210
